DATE,DTWEXBGS
2022-01-03,115.4102
2022-01-04,115.3238
2022-01-05,115.1558
2022-01-06,115.4221
2022-01-07,115.0641
2022-01-10,115.2341
2022-01-11,114.852
2022-01-12,114.3798
2022-01-13,114.2084
2022-01-14,114.4045
2022-01-17,.
2022-01-18,114.7533
2022-01-19,114.6272
2022-01-20,114.4819
2022-01-21,114.6262
2022-01-24,115.2085
2022-01-25,115.1693
2022-01-26,115.1017
2022-01-27,115.9723
2022-01-28,116.0306
2022-01-31,115.5667
2022-02-01,115.3726
2022-02-02,115.1617
2022-02-03,114.924
2022-02-04,115.1489
2022-02-07,115.022
2022-02-08,115.101
2022-02-09,114.836
2022-02-10,114.5711
2022-02-11,114.8568
2022-02-14,115.2012
2022-02-15,114.9348
2022-02-16,114.6971
2022-02-17,114.6867
2022-02-18,114.8057
2022-02-21,.
2022-02-22,114.7172
2022-02-23,114.6853
2022-02-24,115.9586
2022-02-25,115.2742
2022-02-28,115.2931
2022-03-01,115.8831
2022-03-02,115.8281
2022-03-03,116.0198
2022-03-04,116.7299
2022-03-07,117.4591
2022-03-08,117.7
2022-03-09,116.7173
2022-03-10,116.8532
2022-03-11,117.1274
2022-03-14,117.2438
2022-03-15,117.3029
2022-03-16,116.8654
2022-03-17,116.1148
2022-03-18,116.2161
2022-03-21,116.0252
2022-03-22,116.1654
2022-03-23,116.0702
2022-03-24,116.0328
2022-03-25,115.8678
2022-03-28,116.2449
2022-03-29,115.6164
2022-03-30,115.1226
2022-03-31,115.2445
2022-04-01,115.5139
2022-04-04,115.4466
2022-04-05,115.7518
2022-04-06,116.0177
2022-04-07,116.3496
2022-04-08,116.4177
2022-04-11,116.5583
2022-04-12,116.4058
2022-04-13,116.2932
2022-04-14,116.7606
2022-04-15,116.7137
2022-04-18,116.8545
2022-04-19,117.1443
2022-04-20,116.7633
2022-04-21,117.1711
2022-04-22,118.0334
2022-04-25,118.6324
2022-04-26,118.9579
2022-04-27,119.4542
2022-04-28,120.0505
2022-04-29,119.4772
2022-05-02,119.8619
2022-05-03,119.677
2022-05-04,119.5197
2022-05-05,119.9567
2022-05-06,119.8387
2022-05-09,120.4824
2022-05-10,120.7609
2022-05-11,120.3613
2022-05-12,121.2339
2022-05-13,120.8099
2022-05-16,120.6536
2022-05-17,119.8656
2022-05-18,119.9986
2022-05-19,119.3928
2022-05-20,119.322
2022-05-23,118.6605
2022-05-24,118.5609
2022-05-25,118.9145
2022-05-26,118.7586
2022-05-27,118.2787
2022-05-30,.
2022-05-31,118.0559
2022-06-01,118.6793
2022-06-02,118.0589
2022-06-03,118.2054
2022-06-06,118.2782
2022-06-07,118.4232
2022-06-08,118.3824
2022-06-09,118.8836
2022-06-10,119.9422
2022-06-13,121.0807
2022-06-14,121.5898
2022-06-15,121.5462
2022-06-16,120.5963
2022-06-17,121.1529
2022-06-20,.
2022-06-21,120.5505
2022-06-22,120.4383
2022-06-23,120.6703
2022-06-24,120.3971
2022-06-27,120.0907
2022-06-28,120.5248
2022-06-29,120.8569
2022-06-30,120.8719
2022-07-01,121.3983
2022-07-04,.
2022-07-05,122.5303
2022-07-06,122.9059
2022-07-07,122.6334
2022-07-08,122.3794
2022-07-11,123.1972
2022-07-12,123.3302
2022-07-13,123.1654
2022-07-14,123.9404
2022-07-15,123.3601
2022-07-18,122.6637
2022-07-19,122.3745
2022-07-20,122.4864
2022-07-21,122.8004
2022-07-22,122.3473
2022-07-25,122.3579
2022-07-26,122.6609
2022-07-27,122.7174
2022-07-28,122.024
2022-07-29,121.6934
2022-08-01,121.3454
2022-08-02,121.8569
2022-08-03,122.293
2022-08-04,121.7517
2022-08-05,122.2345
2022-08-08,121.7944
2022-08-09,121.7824
2022-08-10,120.6894
2022-08-11,120.655
2022-08-12,120.9499
2022-08-15,121.3583
2022-08-16,121.6112
2022-08-17,121.991
2022-08-18,122.2758
2022-08-19,122.9575
2022-08-22,123.5096
2022-08-23,122.9691
2022-08-24,123.0226
2022-08-25,122.9714
2022-08-26,122.9847
2022-08-29,123.3931
2022-08-30,123.607
2022-08-31,123.4535
2022-09-01,124.3064
2022-09-02,123.6919
2022-09-05,.
2022-09-06,124.6871
2022-09-07,124.7649
2022-09-08,124.5036
2022-09-09,123.7185
2022-09-12,123.28
2022-09-13,124.3481
2022-09-14,124.3788
2022-09-15,124.8118
2022-09-16,124.8039
2022-09-19,124.9384
2022-09-20,125.0583
2022-09-21,125.6664
2022-09-22,126.0729
2022-09-23,127.169
2022-09-26,128.3196
2022-09-27,128.3198
2022-09-28,127.9785
2022-09-29,127.4238
2022-09-30,127.4039
2022-10-03,126.977
2022-10-04,126.1065
2022-10-05,126.7759
2022-10-06,127.1507
2022-10-07,127.215
2022-10-10,.
2022-10-11,127.5866
2022-10-12,128.0611
2022-10-13,127.6538
2022-10-14,128.2418
2022-10-17,127.578
2022-10-18,127.843
2022-10-19,128.3211
2022-10-20,127.9346
2022-10-21,127.606
2022-10-24,127.9692
2022-10-25,127.3311
2022-10-26,126.4195
2022-10-27,126.6541
2022-10-28,127.1645
2022-10-31,127.5786
2022-11-01,127.348
2022-11-02,127.2652
2022-11-03,128.1087
2022-11-04,127.1053
2022-11-07,126.2613
2022-11-08,125.6077
2022-11-09,125.9479
2022-11-10,124.6714
2022-11-11,.
2022-11-14,123.3884
2022-11-15,122.9951
2022-11-16,123.243
2022-11-17,123.946
2022-11-18,123.8169
2022-11-21,124.6611
2022-11-22,124.1986
2022-11-23,123.734
2022-11-24,.
2022-11-25,123.3171
2022-11-28,123.5866
2022-11-29,123.6284
2022-11-30,123.467
2022-12-01,121.9697
2022-12-02,121.9745
2022-12-05,122.5802
2022-12-06,122.9649
2022-12-07,122.7015
2022-12-08,122.3684
2022-12-09,122.3712
2022-12-12,122.7245
2022-12-13,121.8116
2022-12-14,121.7922
2022-12-15,122.5201
2022-12-16,122.6127
2022-12-19,122.5102
2022-12-20,122.1117
2022-12-21,122.2665
2022-12-22,122.2105
2022-12-23,121.9579
2022-12-26,.
2022-12-27,121.7378
2022-12-28,121.9983
2022-12-29,121.6556
2022-12-30,121.4047
