"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,1.496155,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,1.570795,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,1.517227,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,1.482591,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,1.332723,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,1.37001,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,1.344536,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,1.359291,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,24.81332,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,24.96052,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,23.88891,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,22.91677,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,7.510832,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,7.571671,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,7.295255,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,7.023195,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,407.8182,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,425.5452,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,399.7155,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,384.4373,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,141.8182,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,144.1429,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,144.0909,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,142.3636,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,143.2168,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,147.0405,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,142.3759,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,134.8295,,
"CCUS","Currency exchange rates, monthly average","KOR","Korea","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,1394.6,,
"CCUS","Currency exchange rates, monthly average","KOR","Korea","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,1425.667,,
"CCUS","Currency exchange rates, monthly average","KOR","Korea","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,1359.977,,
"CCUS","Currency exchange rates, monthly average","KOR","Korea","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,1293.818,,
"CCUS","Currency exchange rates, monthly average","MEX","Mexico","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,20.01561,,
"CCUS","Currency exchange rates, monthly average","MEX","Mexico","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,19.95526,,
"CCUS","Currency exchange rates, monthly average","MEX","Mexico","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,19.42907,,
