DATE,RTWEXBGS
2006-01-01,100.0
2006-02-01,100.2661
2006-03-01,100.5432
2006-04-01,100.0548
2006-05-01,97.8691
2006-06-01,99.1991
2006-07-01,99.3778
2006-08-01,98.8356
2006-09-01,98.5681
2006-10-01,98.3559
2006-11-01,97.3687
2006-12-01,96.7897
2007-01-01,97.8341
2007-02-01,97.6785
2007-03-01,97.4348
2007-04-01,96.131
2007-05-01,95.4048
2007-06-01,95.1358
2007-07-01,93.7322
2007-08-01,94.0706
2007-09-01,92.8685
2007-10-01,90.7437
2007-11-01,89.6751
2007-12-01,90.5257
2008-01-01,90.0046
2008-02-01,89.0058
2008-03-01,87.215
2008-04-01,86.8333
2008-05-01,87.1631
2008-06-01,87.7433
2008-07-01,87.3428
2008-08-01,89.6887
2008-09-01,92.0435
2008-10-01,98.0094
2008-11-01,99.1796
2008-12-01,97.5777
2009-01-01,98.4978
2009-02-01,101.2777
2009-03-01,101.5551
2009-04-01,98.9088
2009-05-01,95.7544
2009-06-01,94.8371
2009-07-01,94.3994
2009-08-01,93.1647
2009-09-01,92.516
2009-10-01,91.2633
2009-11-01,90.7882
2009-12-01,91.134
2010-01-01,91.0114
2010-02-01,92.2001
2010-03-01,91.307
2010-04-01,90.6567
2010-05-01,93.2821
2010-06-01,93.6541
2010-07-01,92.0368
2010-08-01,91.2327
2010-09-01,90.2473
2010-10-01,87.6975
2010-11-01,87.813
2010-12-01,88.5156
2011-01-01,87.4314
2011-02-01,86.8075
2011-03-01,86.0335
2011-04-01,84.5775
2011-05-01,84.669
2011-06-01,84.5171
2011-07-01,83.9181
2011-08-01,84.5805
2011-09-01,87.2829
2011-10-01,87.9434
2011-11-01,88.5596
2011-12-01,89.3627
2012-01-01,88.6911
2012-02-01,87.2421
2012-03-01,87.6617
2012-04-01,87.8892
2012-05-01,89.2911
2012-06-01,90.5238
2012-07-01,89.9635
2012-08-01,89.3097
2012-09-01,87.9956
2012-10-01,87.8619
2012-11-01,88.2712
2012-12-01,87.4993
2013-01-01,87.4151
2013-02-01,88.2934
2013-03-01,88.7805
2013-04-01,88.0315
2013-05-01,88.4325
2013-06-01,89.1504
2013-07-01,89.7055
2013-08-01,89.6156
2013-09-01,89.1652
2013-10-01,88.1607
2013-11-01,88.9136
2013-12-01,89.0915
2014-01-01,89.9847
2014-02-01,90.1132
2014-03-01,89.9382
2014-04-01,89.4064
2014-05-01,89.0903
2014-06-01,89.1931
2014-07-01,88.9492
2014-08-01,89.7629
2014-09-01,91.0854
2014-10-01,92.1961
2014-11-01,93.5415
2014-12-01,95.4132
2015-01-01,97.1631
2015-02-01,98.5222
2015-03-01,100.493
2015-04-01,99.5797
2015-05-01,98.7777
2015-06-01,99.5688
2015-07-01,101.3881
2015-08-01,103.0203
2015-09-01,103.6135
2015-10-01,102.659
2015-11-01,104.3578
2015-12-01,105.1564
2016-01-01,107.4507
2016-02-01,106.1186
2016-03-01,103.9728
2016-04-01,102.494
2016-05-01,103.5628
2016-06-01,104.0123
2016-07-01,104.6884
2016-08-01,103.8654
2016-09-01,104.7516
2016-10-01,105.8193
2016-11-01,108.2391
2016-12-01,109.9565
2017-01-01,109.741
2017-02-01,108.3448
2017-03-01,107.6431
2017-04-01,106.6415
2017-05-01,106.0076
2017-06-01,104.5972
2017-07-01,102.872
2017-08-01,101.9144
2017-09-01,101.2804
2017-10-01,103.0819
2017-11-01,103.2529
2017-12-01,102.9402
2018-01-01,100.7852
2018-02-01,100.2087
2018-03-01,100.4218
2018-04-01,100.54
2018-05-01,103.516
2018-06-01,105.0682
2018-07-01,105.0455
2018-08-01,105.6211
2018-09-01,105.8253
2018-10-01,106.5527
2018-11-01,107.7344
2018-12-01,107.7836
2019-01-01,106.1352
2019-02-01,106.1731
2019-03-01,106.5453
2019-04-01,106.6766
2019-05-01,107.4407
2019-06-01,106.7951
2019-07-01,106.5224
2019-08-01,108.383
2019-09-01,108.5774
2019-10-01,108.0539
2019-11-01,107.8612
2019-12-01,107.2288
2020-01-01,106.6323
2020-02-01,107.9837
2020-03-01,111.8298
2020-04-01,113.4175
2020-05-01,112.7343
2020-06-01,110.0855
2020-07-01,109.4301
2020-08-01,108.1868
2020-09-01,107.7749
2020-10-01,107.2345
2020-11-01,105.9288
2020-12-01,103.9987
2021-01-01,103.3457
2021-02-01,104.0215
2021-03-01,105.4671
2021-04-01,105.1738
2021-05-01,104.226
2021-06-01,105.0983
2021-07-01,106.5309
2021-08-01,106.9315
2021-09-01,107.0958
2021-10-01,108.0265
2021-11-01,109.1954
2021-12-01,110.4109
2022-01-01,109.8921
2022-02-01,109.984
2022-03-01,111.2601
2022-04-01,111.6677
2022-05-01,114.271
2022-06-01,115.1367
2022-07-01,117.052
2022-08-01,116.6423
2022-09-01,119.5255
2022-10-01,121.1602
2022-11-01,118.7496
2022-12-01,116.3114
2023-01-01,114.2377
2023-02-01,114.9672
2023-03-01,115.5583
