Date,Open,High,Low,Close,Adj Close,Volume
2022-01-04,21335.599609,21473.699219,21222.099609,21236.500000,21236.500000,269077900
2022-01-05,21281.900391,21319.199219,21037.400391,21039.699219,21039.699219,311271500
2022-01-06,21057.900391,21148.599609,20934.199219,21072.199219,21072.199219,238503500
2022-01-07,21066.800781,21113.199219,20942.400391,21084.500000,21084.500000,201893900
2022-01-10,21034.500000,21072.300781,20790.900391,21072.300781,21072.300781,249460500
2022-01-11,21086.199219,21284.000000,21009.099609,21274.800781,21274.800781,292134500
2022-01-12,21338.000000,21449.900391,21286.099609,21395.000000,21395.000000,282425700
2022-01-13,21427.000000,21471.099609,21276.300781,21293.000000,21293.000000,232657500
2022-01-14,21191.599609,21365.500000,21162.800781,21357.599609,21357.599609,248685200
2022-01-17,21373.199219,21550.099609,21373.199219,21537.500000,21537.500000,102382400
2022-01-18,21386.699219,21386.699219,21193.000000,21274.599609,21274.599609,270941200
2022-01-19,21343.599609,21344.500000,21155.900391,21205.199219,21205.199219,269018900
2022-01-20,21245.199219,21369.699219,21043.500000,21058.199219,21058.199219,235930000
2022-01-21,20921.800781,20921.800781,20534.400391,20621.400391,20621.400391,314223500
2022-01-24,20465.199219,20577.400391,19912.599609,20571.300781,20571.300781,395028200
2022-01-25,20364.699219,20746.699219,20130.500000,20591.000000,20591.000000,273778800
2022-01-26,20781.300781,20933.199219,20502.599609,20595.900391,20595.900391,279753000
2022-01-27,20755.400391,20852.599609,20514.099609,20544.099609,20544.099609,271999200
2022-01-28,20539.199219,20741.800781,20411.800781,20741.800781,20741.800781,244859200
2022-01-31,20714.300781,21109.400391,20697.800781,21098.300781,21098.300781,273255000
2022-02-01,21160.500000,21321.000000,21073.099609,21319.900391,21319.900391,264205400
2022-02-02,21363.199219,21419.300781,21287.199219,21362.400391,21362.400391,255962600
2022-02-03,21176.900391,21228.800781,21082.699219,21094.000000,21094.000000,237618600
2022-02-04,21158.300781,21343.099609,21158.300781,21271.900391,21271.900391,236739900
2022-02-07,21271.300781,21327.699219,21158.699219,21235.500000,21235.500000,267467700
2022-02-08,21253.900391,21402.800781,21206.400391,21377.199219,21377.199219,297003600
2022-02-09,21524.099609,21650.800781,21524.099609,21604.199219,21604.199219,253686100
2022-02-10,21521.000000,21784.699219,21491.900391,21531.699219,21531.699219,310182300
2022-02-11,21547.000000,21670.300781,21427.599609,21548.800781,21548.800781,341259700
2022-02-14,21509.800781,21509.800781,21280.000000,21352.500000,21352.500000,296881100
2022-02-15,21398.199219,21510.599609,21388.000000,21502.599609,21502.599609,279605200
2022-02-16,21376.699219,21461.500000,21344.699219,21383.599609,21383.599609,255282300
2022-02-17,21358.500000,21395.099609,21160.099609,21176.300781,21176.300781,254383600
2022-02-18,21184.300781,21202.800781,21000.599609,21008.199219,21008.199219,243061100
2022-02-22,20936.300781,21030.500000,20737.699219,20907.800781,20907.800781,323454100
2022-02-23,20956.800781,20996.099609,20718.000000,20744.199219,20744.199219,292754100
2022-02-24,20500.500000,20770.400391,20397.199219,20761.900391,20761.900391,397835700
2022-02-25,20828.099609,21114.000000,20784.000000,21106.000000,21106.000000,272944300
2022-02-28,21010.900391,21142.400391,20951.900391,21126.400391,21126.400391,399194900
2022-03-01,21144.000000,21213.300781,20912.099609,21004.500000,21004.500000,353650800
2022-03-02,21065.599609,21297.699219,21065.599609,21255.599609,21255.599609,291797500
2022-03-03,21280.099609,21348.900391,21208.500000,21250.400391,21250.400391,298464500
2022-03-04,21204.400391,21406.900391,21198.599609,21402.400391,21402.400391,332349200
2022-03-07,21382.300781,21575.099609,21298.099609,21304.400391,21304.400391,426010600
2022-03-08,21333.099609,21501.400391,21220.500000,21232.000000,21232.000000,490401300
2022-03-09,21303.000000,21544.000000,21243.199219,21493.199219,21493.199219,386823000
2022-03-10,21390.400391,21587.400391,21371.900391,21581.699219,21581.699219,310184700
2022-03-11,21534.900391,21620.000000,21455.000000,21461.800781,21461.800781,294326600
2022-03-14,21440.000000,21443.500000,21122.000000,21180.800781,21180.800781,327796200
2022-03-15,21065.099609,21198.599609,20971.099609,21187.800781,21187.800781,320480100
2022-03-16,21296.400391,21485.800781,21190.099609,21468.800781,21468.800781,310154000
2022-03-17,21521.500000,21772.500000,21506.400391,21771.199219,21771.199219,239055600
2022-03-18,21702.900391,21877.099609,21698.500000,21818.500000,21818.500000,623070600
2022-03-21,21918.400391,22023.800781,21910.300781,22009.099609,22009.099609,264205300
2022-03-22,22073.900391,22152.900391,22045.199219,22074.400391,22074.400391,264320300
