,Date,dollar,sp500,dollar_diff,sp500_diff,bank_positive,bank_neutral,bank_negative,count_bank,fin_positive,fin_neutral,fin_negative,count_fin,bank_positive_var,bank_neutral_var,bank_negative_var,fin_positive_var,fin_neutral_var,fin_negative_var,bank_pos_dummy2,bank_neg_dummy2,fin_pos_dummy2,fin_neg_dummy2,bank_pos_dummy,bank_neu_dummy,bank_neg_dummy,fin_pos_dummy,fin_neu_dummy,fin_neg_dummy
0,2022-07-01,121.3983,3825.33,,,,,,0,0.4822324514389038,0.41972076892852783,0.09804681688547134,1,,,,,,,0,0,1,0,0,0,0,1,0,0
1,2022-07-05,122.5303,3831.39,1.1319999999999908,6.059999999999945,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
2,2022-07-06,122.9059,3845.08,0.3756000000000057,13.690000000000055,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
3,2022-07-07,122.6334,3902.62,-0.27250000000000796,57.539999999999964,,,,0,0.033656708896160126,0.3849257295951247,0.5814175605773926,2,,,,0.0007207475405142105,0.2501815416451859,0.27775874202422557,0,0,0,1,0,0,0,0,0,1
4,2022-07-08,122.3794,3899.38,-0.2539999999999907,-3.2399999999997817,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
5,2022-07-11,123.1972,3854.43,0.8177999999999912,-44.95000000000027,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
6,2022-07-12,123.3302,3818.8,0.13300000000000978,-35.629999999999654,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
7,2022-07-13,123.1654,3801.78,-0.1647999999999996,-17.019999999999982,,,,0,0.5926474928855896,0.3172399401664734,0.09011255204677582,1,,,,,,,0,0,1,0,0,0,0,1,0,0
8,2022-07-14,123.9404,3790.38,0.7749999999999915,-11.400000000000091,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
9,2022-07-15,123.3601,3863.16,-0.580299999999994,72.77999999999975,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
10,2022-07-18,122.6637,3830.85,-0.696399999999997,-32.309999999999945,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
11,2022-07-19,122.3745,3936.69,-0.2892000000000081,105.84000000000015,,,,0,0.013925940729677677,0.054673418402671814,0.9314006567001343,1,,,,,,,0,0,0,1,0,0,0,0,0,1
