,Unnamed: 0,author_id,created_at,edit_history_tweet_ids,id_x,lang,public_metrics,text,username,imp_count,like_count,retweet_count,type,negative,neutral,positive
0,0,2516650610,2022-12-30 21:30:00+00:00,[1608938479366406146],1608938479366406146,es,"{'retweet_count': 7, 'reply_count': 2, 'like_count': 14, 'quote_count': 2, 'bookmark_count': 1, 'impression_count': 7880}","#DataBCRA
Encontrá la lista de #PrincipalesVariables ▶️  https://t.co/g9kLlo93Ed https://t.co/AurXGuTc6x",BancoCentral_AR,7880,14,7,central_bank,0.03575877100229263,0.8178185820579529,0.14642265439033508
1,1,2516650610,2022-12-30 21:06:51+00:00,[1608932651943202817],1608932651943202817,es,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 4, 'quote_count': 1, 'bookmark_count': 0, 'impression_count': 4730}","Publicamos el Informe de Evolución del #MercadoDeCambios y #BalanceCambiario de noviembre de 2022.
Más información ▶️https://t.co/hiHB38sRQV https://t.co/3kCmVdhbRV",BancoCentral_AR,4730,4,3,central_bank,0.018571091815829277,0.8893981575965881,0.09203075617551804
2,2,2516650610,2022-12-30 18:37:06+00:00,[1608894965173870594],1608894965173870594,es,"{'retweet_count': 1, 'reply_count': 4, 'like_count': 4, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 4224}","A dos años de la puesta en marcha de nuestra Línea de Financiamiento a la Inversión Productiva #LFIP, fueron asistidas más de 350.000 #MiPyMEs de todo el país, con desembolsos de 3.585 miles de millones de pesos aproximadamente. 
Conocé más: https://t.co/H1qgpYALWt",BancoCentral_AR,4224,4,1,central_bank,0.028202680870890617,0.7077372074127197,0.2640601098537445
3,3,2516650610,2022-12-30 17:05:10+00:00,[1608871832614232065],1608871832614232065,es,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 6, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 3296}","#DataBCRA | Las operaciones con #TarjetaDeDébito mantienen su liderazgo por sobre las de crédito.
📈 Las transacciones con débito crecieron 11% interanual en cantidades, mientras que las operaciones con #TarjetaDeCrédito disminuyeron casi el 1%. https://t.co/2gyueotHV4",BancoCentral_AR,3296,6,2,central_bank,0.07737579196691513,0.5094630122184753,0.41316118836402893
4,4,2516650610,2022-12-30 17:05:09+00:00,[1608871828000501761],1608871828000501761,es,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 4, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 3595}","#DataBCRA | En noviembre se compensaron 5,1 millones de cheques por un total de $2,2 billones.
📈 La participación del #ECHEQ sobre el total alcanzó 33% en cantidades y 58,6% en montos. https://t.co/yDnXAMOYVa",BancoCentral_AR,3595,4,3,central_bank,0.05507799983024597,0.7549918293952942,0.18993015587329865
5,5,2516650610,2022-12-30 17:05:08+00:00,[1608871823449657344],1608871823449657344,es,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 4, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1615}","#DataBCRA | Los débitos inmediatos #DEBIN crecieron un 1,2% respecto de octubre de 2022.
📈 Alcanzaron los 23,8 millones de operaciones por $189 mil millones. https://t.co/DFVGER0ASz",BancoCentral_AR,1615,4,2,central_bank,0.039990585297346115,0.4669486880302429,0.49306073784828186
6,6,2516650610,2022-12-30 17:05:07+00:00,[1608871818718502914],1608871818718502914,es,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 3, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1641}","#DataBCRA | Los #PagosConTransferencia interoperables crecieron un 43,9% interanual por más de $136 mil millones.
📈 Más del 21% de estos pagos se hicieron con un #CódigoQR interoperable. https://t.co/30IACguvmt",BancoCentral_AR,1641,3,1,central_bank,0.03229670971632004,0.551252543926239,0.41645073890686035
7,7,2516650610,2022-12-30 17:05:06+00:00,[1608871814402543618],1608871814402543618,es,"{'retweet_count': 1, 'reply_count': 2, 'like_count': 2, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1732}","#DataBCRA | En noviembre se hicieron casi 170 millones de #Transferencias inmediatas Push. Esto significa un aumento interanual del 107%.
📈 Más de la mitad tuvo como origen o destino una #CVU. https://t.co/ZcoCh9UVHK",BancoCentral_AR,1732,2,1,central_bank,0.035499777644872665,0.7090703248977661,0.25542986392974854
8,8,2516650610,2022-12-30 17:05:05+00:00,[1608871810862559234],1608871810862559234,es,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 8, 'quote_count': 0, 'bookmark_count': 2, 'impression_count': 5943}","Publicamos el Informe Mensual de #PagosMinoristas de noviembre de 2022. 
Más información ▶️ https://t.co/Xw3Vsc1Q0N
#DataBCRA https://t.co/t0sCnOWZoO",BancoCentral_AR,5943,8,3,central_bank,0.020728960633277893,0.9138963222503662,0.06537467241287231
9,9,2516650610,2022-12-29 21:30:30+00:00,[1608576215429816320],1608576215429816320,es,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 11, 'quote_count': 1, 'bookmark_count': 1, 'impression_count': 6438}","#DataBCRA
Encontrá la lista de #PrincipalesVariables ▶️  https://t.co/g9kLlo93Ed https://t.co/wocYdIbulm",BancoCentral_AR,6438,11,3,central_bank,0.033096764236688614,0.8362338542938232,0.1306694597005844
